Timestamp,Policy,Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,Policy,Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,Policy,Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,Policy,Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,Policy,Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,Policy,Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,Policy,Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,Policy,Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,Policy,Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,
14:53:03.486 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),0,0,0,0,0,0,
14:53:25.363 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),4589,10219,0,0,0,0,
14:53:46.879 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),6592,5860,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),0,0,0,0,0,0,
14:54:08.418 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),87,0,0,0,0,0,
14:54:29.956 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),0,0,0,0,0,0,
14:54:51.459 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),0,0,0,0,0,0,
14:55:13.040 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),192,0,0,0,0,0,
14:55:34.760 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),4609,12190,0,0,464,0,
14:55:56.364 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),587,570,0,0,0,0,
14:56:17.829 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),1484,65436,0,0,0,0,
14:56:44.557 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),0,196108,0,0,0,0,
14:57:06.070 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),0,195077,0,0,0,0,
